#category	org	brand	title	model_or_series	doc_type	language	publication_date	url
manufacturers	Pentair	Fleck	Fleck 5600 Service Manual	5600	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40106-fleck-5600-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5600SXT Upflow Service Manual	5600SXT	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42683-fleck-5600sxt-upflow-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5600SXT Downflow Service Manual	5600SXT	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42684-fleck-5600sxt-downflow-manual.pdf
manufacturers	Pentair	Fleck	Fleck SXT Controllers Owner's Manual	SXT	owners_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44001-fleck-sxt-owners-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5800 LXT Downflow/Upflow Service Manual	5800LXT	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-fleck-5800lxt-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5800 SXT Downflow/Upflow Service Manual	5800SXT	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-01-fleck-5800sxt-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5800 XTR2 Service Manual	5800XTR2	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-02-fleck-5800xtr2-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5800/5810/5812 XTRi Manual	5800-5810-5812	manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44514-fleck-5800-581-5812-xtri-manual.pdf
manufacturers	Pentair	Fleck	Fleck 9000/9100/9500 Service Manual	9000-9100-9500	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40944-fleck-9000-9100-9500-manual.pdf
manufacturers	Pentair	Fleck	Fleck 2510 Service Manual	2510	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40097_fleck_2510_manual.pdf
manufacturers	Pentair	Fleck	Fleck 7000SXT Service Manual	7000SXT	service_manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42775-fleck-7000sxt-manual.pdf
manufacturers	Pentair	Fleck	Fleck 5810 & 5812 SXT Manual	5810-5812SXT	manual	en		https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44019-fleck-5810-5812sxt-manual.pdf

manufacturers	Clack	Water Specialist	WS1 and WS1.25 Drawings and Service Manual	WS1-WS1.25	service_manual	en		https://www.clackcorp.com/downloads/control_valve_manuals/V3115-99_WS1_1.25_Drawings_and_Service_Manual.pdf
manufacturers	Clack	Water Specialist	Water Specialist 1" Control Valve Series (WS1) Manual	WS1	manual	en		https://www.clackcorp.com/downloads/control_valve_manuals/V3115_WS1_1.25.pdf
manufacturers	Clack	Water Specialist	Water Specialist EE Control Valve Programming Manual	WS1/2 EE	programming_manual	en		https://www.clackcorp.com/downloads/control_valve_manuals/V3435EE_EE%20Programming%20Manual.pdf
manufacturers	Clack	Water Specialist	Water Specialist CI Control Valve Programming Manual	WS1/2 CI	programming_manual	en		https://www.clackcorp.com/wp-content/uploads/2025/11/V3435CI-WS1-2-CI-MANUAL-PROGRAMMING.pdf
manufacturers	Clack	Water Specialist	Water Specialist EI Control Valve Programming Manual	WS1/2 EI	programming_manual	en		https://www.clackcorp.com/wp-content/uploads/2025/11/V3435EI-WS1-2-EI-MANUAL-PROGRAMMING.pdf

manufacturers	Watts	Watts	Installation, Operation and Maintenance Manual (WQ-PWSR)	WQ-PWSR	iom	en		https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/29606-source/638815501660000000/2915216-pdf.pdf
manufacturers	Watts	Watts	Model 5600SE Downflow Service Manual	5600SE	service_manual	en		https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/12118-source/638815501640000000/5600se-pdf.pdf
manufacturers	Watts	Watts	1" Commercial Water Softeners IOM (WQ-LC-100)	WQ-LC-100	iom	en		https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/232782-source/638459318660000000/68110417-iom-wq-lc-100-2142.pdf
manufacturers	Watts	Watts	Water Softener Installation Instructions		installation_manual	en		https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/12079-source/638815501620000000/2850-pdf.pdf

manufacturers	Xylem	Goulds Water Technology	Models 1GA/2GA Installation, Operation and Maintenance Instructions	1GA-2GA	iom	en		https://www.xylem.com/siteassets/brand/goulds-water-technology/resources/manual/im070r05.pdf
manufacturers	Xylem	Lowara	DOC Submersible pump units Installation, Operation and Maintenance manual	DOC	IOM	en	2019-01	https://www.xylem.com/siteassets/brand/lowara/resources/manual/001082038en_a_01_2019_doc.pdf
manufacturers	Xylem	Goulds Water Technology	Deep Well Turbine Pumps Installation, Operation, and Maintenance Manual	DWT	IOM	en		https://www.xylem.com/siteassets/brand/goulds-water-technology/resources/manual/iomgwdwtr02.pdf
manufacturers	Xylem	Bell & Gossett	Series e3-4 / e3-6 Installation, Operation and Maintenance Manual	e3-4_e3-6	IOM	en	2020-08	https://www.xylem.com/siteassets/brand/bell-amp-gossett/resources/manual/671075217en_a_08_2020_sizea4.pdf

manufacturers	Grundfos	Grundfos	DMX 227 Dosing pump Installation and operating instructions	DMX227	installation_operating_instructions	en		https://api.grundfos.com/literature/Grundfosliterature-413716.pdf
manufacturers	Grundfos	Grundfos	DME Digital dosing pumps Data Booklet	DME	data_booklet	en		https://api.grundfos.com/literature/Grundfosliterature-5153618.pdf
manufacturers	Grundfos	Grundfos	DTS Dosing tank station Installation and operating instructions	DTS	installation_operating_instructions	en		https://api.grundfos.com/literature/Grundfosliterature-5616777.pdf

manufacturers	Hach	Hach	SC200 Controller Basic User Manual	SC200	user_manual	en	2019-12	https://cdn.hach.com/7FYZVWYB/at/rb7c83xqbvh6znk6857m2p/DOC0239880040.pdf
manufacturers	Hach	Hach	SC200 Universal Controller (Literature)	SC200	product_literature	en		https://cdn.hach.com/7FYZVWYB/at/vxgfp93mrxjv5qh7k57snbm/LIT2665.pdf

