id,category,org,brand,title,model_or_series,doc_type,language,publication_date,file_name,relative_path,pages,sha256,file_bytes,primary_url,alt_urls
M0001,manufacturers,Xylem,Lowara,"DOC Submersible pump units Installation, Operation and Maintenance manual",DOC,IOM,en,2019-01,xylem_lowara_doc_iom_doc_submersible_pump_units_installation_operation_and_maintenance_manual.pdf,manufacturers/xylem/xylem_lowara_doc_iom_doc_submersible_pump_units_installation_operation_and_maintenance_manual.pdf,,467a6631ff0b2d691f1ef56f9b9093f5682b82963181b9497e7e6e1b8689a59a,1683906,https://www.xylem.com/siteassets/brand/lowara/resources/manual/001082038en_a_01_2019_doc.pdf,"[""https://www.xylem.com/siteassets/brand/lowara/resources/manual/001082038en_a_01_2019_doc.pdf""]"
M0002,manufacturers,Xylem,Bell & Gossett,"Series e3-4 / e3-6 Installation, Operation and Maintenance Manual",e3-4_e3-6,IOM,en,2020-08,xylem_bell_gossett_e3_4_e3_6_iom_series_e3_4_e3_6_installation_operation_and_maintenance_manual.pdf,manufacturers/xylem/xylem_bell_gossett_e3_4_e3_6_iom_series_e3_4_e3_6_installation_operation_and_maintenance_manual.pdf,49,f23b96f39d35f466d5d0c861f3db3e71c998ce9ec76a412e4c8f3c7b0e76bd16,5941362,https://www.xylem.com/siteassets/brand/bell-amp-gossett/resources/manual/671075217en_a_08_2020_sizea4.pdf,"[""https://www.xylem.com/siteassets/brand/bell-amp-gossett/resources/manual/671075217en_a_08_2020_sizea4.pdf""]"
M0003,manufacturers,Hach,Hach,SC200 Controller Basic User Manual,SC200,user_manual,en,2019-12,hach_hach_sc200_user_manual_sc200_controller_basic_user_manual.pdf,manufacturers/hach/hach_hach_sc200_user_manual_sc200_controller_basic_user_manual.pdf,662,2ae768100fd19feac49b8e9d7fd112dc08c89ab41a9417d0b5c8d9226daba607,4535559,https://cdn.hach.com/7FYZVWYB/at/rb7c83xqbvh6znk6857m2p/DOC0239880040.pdf,"[""https://cdn.hach.com/7FYZVWYB/at/rb7c83xqbvh6znk6857m2p/DOC0239880040.pdf""]"
M0004,manufacturers,Siemens,Siemens,SITRANS F M MAG 5000/6000 Operating Instructions,MAG5000-MAG6000,operating_instructions,en,2013-12,siemens_siemens_mag5000_mag6000_operating_instructions_sitrans_f_m_mag_5000_6000_operating_instructions.pdf,manufacturers/siemens/siemens_siemens_mag5000_mag6000_operating_instructions_sitrans_f_m_mag_5000_6000_operating_instructions.pdf,195,b80d638e2791b18abe350d7390dbcf2e7fb4c79340a6e14bbb2c2021415c19ca,8835477,https://cache.industry.siemens.com/dl/files/888/85671888/att_40419/v1/MAG_5000-6000_Eng_en-US.pdf,"[""https://cache.industry.siemens.com/dl/files/888/85671888/att_40419/v1/MAG_5000-6000_Eng_en-US.pdf""]"
M0005,gov_edu,US EPA,EPA,Water Treatment Plant Model v2.0 User's Manual,WTP Model,user_manual,en,2001-05-18,us_epa_epa_wtp_model_user_manual_water_treatment_plant_model_v2_0_user_s_manual.pdf,gov_edu/us_epa/us_epa_epa_wtp_model_user_manual_water_treatment_plant_model_v2_0_user_s_manual.pdf,,dbed194982f31bd18f2140d7796647831ddadecd3a11c8ae9bb64bc5ed0f235f,793717,https://www.epa.gov/sites/default/files/2017-03/documents/wtp_model_v._2.0_manual_508.pdf,"[""https://www.epa.gov/sites/default/files/2017-03/documents/wtp_model_v._2.0_manual_508.pdf""]"
M0006,gov_edu,SA Water,SA Water,TS-0132 Operation and Maintenance Manuals Technical Standard,TS-0132,technical_standard,en,2016-05-20,sa_water_sa_water_ts_0132_technical_standard_ts_0132_operation_and_maintenance_manuals_technical_standard.pdf,gov_edu/sa_water/sa_water_sa_water_ts_0132_technical_standard_ts_0132_operation_and_maintenance_manuals_technical_standard.pdf,38,8553575ab0535102a23435ad7a4b78620f594295c32ee5ac09f01a5ccddce048,1025679,https://www.sawater.com.au/__data/assets/pdf_file/0011/79247/TS-0132-Operation-and-Maintenance-Manuals-Rev1.0-20160520.pdf,"[""https://www.sawater.com.au/__data/assets/pdf_file/0011/79247/TS-0132-Operation-and-Maintenance-Manuals-Rev1.0-20160520.pdf""]"
M0007,manufacturers,Pentair,Fleck,Fleck 5600 Service Manual,5600,service_manual,en,,pentair_fleck_5600_service_manual_fleck_5600_service_manual.pdf,manufacturers/pentair/pentair_fleck_5600_service_manual_fleck_5600_service_manual.pdf,28,24981cbd1ae80c277885ac3ac7d655a21388c18c056aee858af4df69c41962d3,1730670,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40106-fleck-5600-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40106-fleck-5600-manual.pdf""]"
M0008,manufacturers,Pentair,Fleck,Fleck 5600SXT Upflow Service Manual,5600SXT,service_manual,en,,pentair_fleck_5600sxt_service_manual_fleck_5600sxt_upflow_service_manual.pdf,manufacturers/pentair/pentair_fleck_5600sxt_service_manual_fleck_5600sxt_upflow_service_manual.pdf,28,6117fcfac8021a4804b25fd05035dafed965857c373f29ac85c1f1dd96774860,1891207,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42683-fleck-5600sxt-upflow-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42683-fleck-5600sxt-upflow-manual.pdf""]"
M0009,manufacturers,Pentair,Fleck,Fleck 5600SXT Downflow Service Manual,5600SXT,service_manual,en,,pentair_fleck_5600sxt_service_manual_fleck_5600sxt_downflow_service_manual.pdf,manufacturers/pentair/pentair_fleck_5600sxt_service_manual_fleck_5600sxt_downflow_service_manual.pdf,32,c4587408d782041e6ed0a5c0cd02315fe8fd110afab04905b5ce14e2b36b5475,2359878,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42684-fleck-5600sxt-downflow-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42684-fleck-5600sxt-downflow-manual.pdf""]"
M0010,manufacturers,Pentair,Fleck,Fleck SXT Controllers Owner's Manual,SXT,owners_manual,en,,pentair_fleck_sxt_owners_manual_fleck_sxt_controllers_owner_s_manual.pdf,manufacturers/pentair/pentair_fleck_sxt_owners_manual_fleck_sxt_controllers_owner_s_manual.pdf,8,9d53c87240081c120eaf79e99b1fbf59b1bcd7561545b9b181c670c5e7be7b54,1205763,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44001-fleck-sxt-owners-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44001-fleck-sxt-owners-manual.pdf""]"
M0011,manufacturers,Pentair,Fleck,Fleck 5800 LXT Downflow/Upflow Service Manual,5800LXT,service_manual,en,,pentair_fleck_5800lxt_service_manual_fleck_5800_lxt_downflow_upflow_service_manual.pdf,manufacturers/pentair/pentair_fleck_5800lxt_service_manual_fleck_5800_lxt_downflow_upflow_service_manual.pdf,24,ecf60f51716af817807218c6dbbcb0376d3c538646a4aa9101502e47b468f6db,2873562,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-fleck-5800lxt-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-fleck-5800lxt-manual.pdf""]"
M0012,manufacturers,Pentair,Fleck,Fleck 5800 SXT Downflow/Upflow Service Manual,5800SXT,service_manual,en,,pentair_fleck_5800sxt_service_manual_fleck_5800_sxt_downflow_upflow_service_manual.pdf,manufacturers/pentair/pentair_fleck_5800sxt_service_manual_fleck_5800_sxt_downflow_upflow_service_manual.pdf,32,3358a405365186394557d4171356ddbdc78f8fcbf0a57a435e8b6ce7aafc71be,2824517,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-01-fleck-5800sxt-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-01-fleck-5800sxt-manual.pdf""]"
M0013,manufacturers,Pentair,Fleck,Fleck 5800 XTR2 Service Manual,5800XTR2,service_manual,en,,pentair_fleck_5800xtr2_service_manual_fleck_5800_xtr2_service_manual.pdf,manufacturers/pentair/pentair_fleck_5800xtr2_service_manual_fleck_5800_xtr2_service_manual.pdf,36,f1f9ea07d4d09cee4de7fa420306eecf37932bd5c51e15582fdaaef2a0af5322,6866870,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-02-fleck-5800xtr2-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/43359-02-fleck-5800xtr2-manual.pdf""]"
M0014,manufacturers,Pentair,Fleck,Fleck 5800/5810/5812 XTRi Manual,5800-5810-5812,manual,en,,pentair_fleck_5800_5810_5812_manual_fleck_5800_5810_5812_xtri_manual.pdf,manufacturers/pentair/pentair_fleck_5800_5810_5812_manual_fleck_5800_5810_5812_xtri_manual.pdf,48,557a66ea229e80b824d6c846e05420ba5e2511b3c79e0f0024e618556ac112f0,12453994,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44514-fleck-5800-581-5812-xtri-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44514-fleck-5800-581-5812-xtri-manual.pdf""]"
M0015,manufacturers,Pentair,Fleck,Fleck 9000/9100/9500 Service Manual,9000-9100-9500,service_manual,en,,pentair_fleck_9000_9100_9500_service_manual_fleck_9000_9100_9500_service_manual.pdf,manufacturers/pentair/pentair_fleck_9000_9100_9500_service_manual_fleck_9000_9100_9500_service_manual.pdf,157,cb7f7986a92a7e72b34dcc2f6a2537f3b86394b44e97877dd42c11b9c11964ef,6430580,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40944-fleck-9000-9100-9500-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40944-fleck-9000-9100-9500-manual.pdf""]"
M0016,manufacturers,Pentair,Fleck,Fleck 2510 Service Manual,2510,service_manual,en,,pentair_fleck_2510_service_manual_fleck_2510_service_manual.pdf,manufacturers/pentair/pentair_fleck_2510_service_manual_fleck_2510_service_manual.pdf,36,20dc9462f82732924b2311cff1003b718a1eac84f1d5b1d79824a5cf4214b716,6102359,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40097_fleck_2510_manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/40097_fleck_2510_manual.pdf""]"
M0017,manufacturers,Pentair,Fleck,Fleck 7000SXT Service Manual,7000SXT,service_manual,en,,pentair_fleck_7000sxt_service_manual_fleck_7000sxt_service_manual.pdf,manufacturers/pentair/pentair_fleck_7000sxt_service_manual_fleck_7000sxt_service_manual.pdf,24,53dd513caee578f0c78446e423446fbeff6b25b448e71bd00386c044c4e2de0b,2919345,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42775-fleck-7000sxt-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/42775-fleck-7000sxt-manual.pdf""]"
M0018,manufacturers,Pentair,Fleck,Fleck 5810 & 5812 SXT Manual,5810-5812SXT,manual,en,,pentair_fleck_5810_5812sxt_manual_fleck_5810_5812_sxt_manual.pdf,manufacturers/pentair/pentair_fleck_5810_5812sxt_manual_fleck_5810_5812_sxt_manual.pdf,32,300c412f39ab5e10e547d28ddfe0fef144cdb372b82a4455225f35209f127b5c,9605420,https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44019-fleck-5810-5812sxt-manual.pdf,"[""https://www.pentair.com/content/dam/extranet/web/nam/fleck/manuals/44019-fleck-5810-5812sxt-manual.pdf""]"
M0019,manufacturers,Clack,Water Specialist,Water Specialist CI Control Valve Programming Manual,WS1/2 CI,programming_manual,en,,clack_water_specialist_ws1_2_ci_programming_manual_water_specialist_ci_control_valve_programming_manual.pdf,manufacturers/clack/clack_water_specialist_ws1_2_ci_programming_manual_water_specialist_ci_control_valve_programming_manual.pdf,28,5bc3395493a2301b5a87f49bfebcd1702d276f0f6c407e3dd28697ad419dce9b,2800090,https://www.clackcorp.com/wp-content/uploads/2025/11/V3435CI-WS1-2-CI-MANUAL-PROGRAMMING.pdf,"[""https://www.clackcorp.com/wp-content/uploads/2025/11/V3435CI-WS1-2-CI-MANUAL-PROGRAMMING.pdf""]"
